Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	protein glycosylation (GO:0006486)	3/130	1.916996e-03	1.047424e-01	0	0	1.338695e+01	8.376210e+01	DAD1;GALNTL5;ALG12
GO_Biological_Process_2021	regulation of interleukin-2 production (GO:0032663)	2/48	3.752501e-03	1.047424e-01	0	0	2.405314e+01	1.343448e+02	PDE4D;HOMER3
GO_Biological_Process_2021	regulation of cyclin-dependent protein kinase activity (GO:1904029)	2/54	4.726504e-03	1.047424e-01	0	0	2.127137e+01	1.138990e+02	CCNP;CCNO
GO_Biological_Process_2021	protein N-linked glycosylation (GO:0006487)	2/67	7.190437e-03	1.047424e-01	0	0	1.700598e+01	8.392458e+01	DAD1;ALG12
GO_Biological_Process_2021	negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)	1/5	9.464812e-03	1.047424e-01	0	0	1.348514e+02	6.284308e+02	RUNX3
GO_Biological_Process_2021	positive regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043378)	1/5	9.464812e-03	1.047424e-01	0	0	1.348514e+02	6.284308e+02	RUNX3
GO_Biological_Process_2021	cellular response to vitamin D (GO:0071305)	1/5	9.464812e-03	1.047424e-01	0	0	1.348514e+02	6.284308e+02	CYP24A1
GO_Biological_Process_2021	fatty acid omega-oxidation (GO:0010430)	1/5	9.464812e-03	1.047424e-01	0	0	1.348514e+02	6.284308e+02	CYP24A1
GO_Biological_Process_2021	regulation of triglyceride metabolic process (GO:0090207)	1/5	9.464812e-03	1.047424e-01	0	0	1.348514e+02	6.284308e+02	C3
GO_Biological_Process_2021	peripheral nervous system neuron differentiation (GO:0048934)	1/5	9.464812e-03	1.047424e-01	0	0	1.348514e+02	6.284308e+02	RUNX3
GO_Biological_Process_2021	regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	2/82	1.060909e-02	1.047424e-01	0	0	1.380694e+01	6.276698e+01	CCNP;CCNO
GO_Biological_Process_2021	glycoprotein biosynthetic process (GO:0009101)	2/83	1.085812e-02	1.047424e-01	0	0	1.363580e+01	6.167259e+01	DAD1;GALNTL5
GO_Biological_Process_2021	regulation of relaxation of cardiac muscle (GO:1901897)	1/6	1.134729e-02	1.047424e-01	0	0	1.078757e+02	4.831510e+02	PDE4D
GO_Biological_Process_2021	positive regulation of heart rate by epinephrine-norepinephrine (GO:0001996)	1/6	1.134729e-02	1.047424e-01	0	0	1.078757e+02	4.831510e+02	PDE4D
GO_Biological_Process_2021	peripheral nervous system neuron development (GO:0048935)	1/6	1.134729e-02	1.047424e-01	0	0	1.078757e+02	4.831510e+02	RUNX3
GO_Biological_Process_2021	negative regulation of relaxation of muscle (GO:1901078)	1/6	1.134729e-02	1.047424e-01	0	0	1.078757e+02	4.831510e+02	PDE4D
GO_Biological_Process_2021	acylglycerol acyl-chain remodeling (GO:0036155)	1/7	1.322628e-02	1.047424e-01	0	0	8.989189e+01	3.888318e+02	DGAT1
GO_Biological_Process_2021	noradrenergic neuron differentiation (GO:0003357)	1/7	1.322628e-02	1.047424e-01	0	0	8.989189e+01	3.888318e+02	PHOX2A
GO_Biological_Process_2021	complement activation, alternative pathway (GO:0006957)	1/7	1.322628e-02	1.047424e-01	0	0	8.989189e+01	3.888318e+02	C3
GO_Biological_Process_2021	creatine metabolic process (GO:0006600)	1/7	1.322628e-02	1.047424e-01	0	0	8.989189e+01	3.888318e+02	CKB
GO_Biological_Process_2021	regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043376)	1/7	1.322628e-02	1.047424e-01	0	0	8.989189e+01	3.888318e+02	RUNX3
GO_Biological_Process_2021	positive regulation of interleukin-5 production (GO:0032754)	1/7	1.322628e-02	1.047424e-01	0	0	8.989189e+01	3.888318e+02	PDE4D
GO_Biological_Process_2021	monoacylglycerol biosynthetic process (GO:0006640)	1/7	1.322628e-02	1.047424e-01	0	0	8.989189e+01	3.888318e+02	DGAT1
GO_Biological_Process_2021	positive regulation of apoptotic cell clearance (GO:2000427)	1/8	1.510180e-02	1.047424e-01	0	0	7.704633e+01	3.230508e+02	C3
GO_Biological_Process_2021	regulation of apoptotic cell clearance (GO:2000425)	1/8	1.510180e-02	1.047424e-01	0	0	7.704633e+01	3.230508e+02	C3
GO_Biological_Process_2021	multi-ciliated epithelial cell differentiation (GO:1903251)	1/8	1.510180e-02	1.047424e-01	0	0	7.704633e+01	3.230508e+02	CCNO
GO_Biological_Process_2021	positive regulation of membrane invagination (GO:1905155)	1/8	1.510180e-02	1.047424e-01	0	0	7.704633e+01	3.230508e+02	C3
GO_Biological_Process_2021	negative regulation of alpha-beta T cell differentiation (GO:0046639)	1/8	1.510180e-02	1.047424e-01	0	0	7.704633e+01	3.230508e+02	RUNX3
GO_Biological_Process_2021	positive regulation of phagocytosis, engulfment (GO:0060100)	1/9	1.697384e-02	1.047424e-01	0	0	6.741216e+01	2.747775e+02	C3
GO_Biological_Process_2021	positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187)	1/9	1.697384e-02	1.047424e-01	0	0	6.741216e+01	2.747775e+02	RUNX3
GO_Biological_Process_2021	synapse pruning (GO:0098883)	1/9	1.697384e-02	1.047424e-01	0	0	6.741216e+01	2.747775e+02	C3
GO_Biological_Process_2021	negative regulation of fibrinolysis (GO:0051918)	1/9	1.697384e-02	1.047424e-01	0	0	6.741216e+01	2.747775e+02	THBD
GO_Biological_Process_2021	nucleoside diphosphate catabolic process (GO:0009134)	1/9	1.697384e-02	1.047424e-01	0	0	6.741216e+01	2.747775e+02	ENTPD2
GO_Biological_Process_2021	response to vitamin (GO:0033273)	1/9	1.697384e-02	1.047424e-01	0	0	6.741216e+01	2.747775e+02	CYP24A1
